InputId,RemoteId
121929181058,121929181058
121926968405,121926968405
121968969649,121968969649
121916948564,121916948564
121773585549,121773585549
121771263610,121771263610
121963181698,121963181698
121973784203,121973784203
121955206440,121955206440
121928089879,121928089879
121923455580,121923455580
121949061932,121949061932
121917095297,121917095297
121982242917,121982242917
121923396500,121923396500
121965492651,121965492651
121965585223,121965585223
149704624949,149704624949
121988897333,121988897333
121916416291,121916416291
150621826161,150621826161
121945679703,121945679703
121923074618,121923074618
121942008496,121942008496
159499342218,159499342218
121990299444,121990299444
121981465664,121981465664
151016187563,151016187563
153189894561,153189894561
163615991975,163615991975
121783107446,121783107446
121973443098,121973443098
121913617311,121913617311
121923431351,121923431351
121931039384,121931039384
121916573876,121916573876
121775905110,121775905110
161455706147,161455706147
121948100362,121948100362
121935373176,121935373176
121765849395,121765849395
121939143684,121939143684
121925291294,121925291294
121928878223,121928878223
121941516916,121941516916
121982420574,121982420574
161446824046,161446824046
121969159499,121969159499
121913741744,121913741744
121916807541,121916807541
121925942141,121925942141
121989190764,121989190764
121759052453,121759052453
121778928741,121778928741
121917099788,121917099788
121921130531,121921130531
121946872758,121946872758
121775295552,121775295552
121989669472,121989669472
121894851253,121894851253
121885958917,121885958917
121915552555,121915552555
121940322068,121940322068
121923455505,121923455505
121914020882,121914020882
121945735781,121945735781
150016672554,150016672554
121981942555,121981942555
121918739360,121918739360
121923437442,121923437442
121989366907,121989366907
121920825927,121920825927
121774205743,121774205743
121957117100,121957117100
121927171119,121927171119
121982154679,121982154679
121920674846,121920674846
121765384808,121765384808
121916741711,121916741711
121773432837,121773432837
121775597159,121775597159
121963190190,121963190190
121920446128,121920446128
121939145568,121939145568
121927560594,121927560594
121990357386,121990357386
121931329839,121931329839
121766770974,121766770974
121990238817,121990238817
121926548910,121926548910
121974831935,121974831935
121770335119,121770335119
121769098901,121769098901
121932429906,121932429906
121913752617,121913752617
121782801690,121782801690
121988827512,121988827512
121776528508,121776528508
121779547447,121779547447
121915670671,121915670671
121915866457,121915866457
121781713796,121781713796
121980423581,121980423581
121768320563,121768320563
121988827308,121988827308
123168568194,123168568194
121971051927,121971051927
121929637545,121929637545
121936375307,121936375307
121945758345,121945758345
121916641397,121916641397
121964514165,121964514165
162763876636,162763876636
162771113234,162771113234
121917501564,121917501564
121965265706,121965265706
121965383325,121965383325
121783417778,121783417778
121924199555,121924199555
121926942640,121926942640
121973456394,121973456394
121920600222,121920600222
121930432283,121930432283
121937870640,121937870640
121927889220,121927889220
153217357329,153217357329
125893989130,125893989130
121759357525,121759357525
121945683531,121945683531
121773902970,121773902970
121942246969,121942246969
121916342819,121916342819
121760905275,121760905275
121935362133,121935362133
121923857241,121923857241
121935374255,121935374255
121948144926,121948144926
121781566484,121781566484
121927722267,121927722267
121782179466,121782179466
121783420213,121783420213
121930123167,121930123167
121916795712,121916795712
121989905160,121989905160
121981314154,121981314154
121764910973,121764910973
121917038129,121917038129
121940243294,121940243294
121920823140,121920823140
121927324524,121927324524
121961077354,121961077354
121971049844,121971049844
121922332316,121922332316
121956783223,121956783223
121988645023,121988645023
121988855668,121988855668
121930969388,121930969388
121926328745,121926328745
121965230647,121965230647
123617823157,123617823157
121939173783,121939173783
121923390824,121923390824
121914483379,121914483379
147923312904,147923312904
162733047942,162733047942
121923436660,121923436660
121935036325,121935036325
121922378895,121922378895
121934622583,121934622583
121957488692,121957488692
121885903764,121885903764
121932415414,121932415414
121886276474,121886276474
121913700356,121913700356
121929491987,121929491987
121924386731,121924386731
150511388339,150511388339
140628646492,140628646492
121928033596,121928033596
121760441227,121760441227
121930266712,121930266712
121965421236,121965421236
121932135095,121932135095
121924701074,121924701074
128203020084,128203020084
121964447522,121964447522
150876456507,150876456507
121770959781,121770959781
121782179190,121782179190
121775134289,121775134289
121892595357,121892595357
121765848422,121765848422
121776213541,121776213541
121916784050,121916784050
121982214513,121982214513
121929159956,121929159956
121982180716,121982180716
121768105580,121768105580
121774203056,121774203056
121937712737,121937712737
121922925357,121922925357
155501365366,155501365366
121929034099,121929034099
121982452576,121982452576
121915980380,121915980380
121974324076,121974324076
121915648339,121915648339
121772346404,121772346404
121770961196,121770961196
121929335210,121929335210
121782493190,121782493190
121948407101,121948407101
121927266736,121927266736
121982510690,121982510690
121965244527,121965244527
121942253228,121942253228
121965588557,121965588557
121929330708,121929330708
121780940556,121780940556
121778931290,121778931290
121772809862,121772809862
121918787735,121918787735
121982095701,121982095701
121921119860,121921119860
121758888229,121758888229
121981914503,121981914503
121934579717,121934579717
121982421529,121982421529
121928884555,121928884555
121780941414,121780941414
121957102651,121957102651
121981704104,121981704104
121765541525,121765541525
121982034097,121982034097
121965421430,121965421430
121917196336,121917196336
121776069405,121776069405
121918123595,121918123595
121890993421,121890993421
121930969197,121930969197
121758731172,121758731172
153194151828,153194151828
121826039120,121826039120
121989252504,121989252504
121769097491,121769097491
121927407117,121927407117
121981707046,121981707046
121765386806,121765386806
121918187564,121918187564
121965422106,121965422106
128248262735,128248262735
126932730698,126932730698
121920027049,121920027049
130819424266,130819424266
121774979180,121774979180
121981822514,121981822514
121886767484,121886767484
121948149044,121948149044
121950481956,121950481956
130820187185,130820187185
121920039270,121920039270
121936536391,121936536391
121928037170,121928037170
121779387984,121779387984
121926092209,121926092209
121759048864,121759048864
121926794410,121926794410
121916951630,121916951630
121931049752,121931049752
121982512016,121982512016
121885639230,121885639230
121915337527,121915337527
163649857579,163649857579
121981854274,121981854274
121956766644,121956766644
121916797860,121916797860
121940312958,121940312958
121941479790,121941479790
121965190931,121965190931
121775442524,121775442524
121926859287,121926859287
121965543190,121965543190
121981647749,121981647749
121924938523,121924938523
121974835855,121974835855
121920489061,121920489061
121885045792,121885045792
121982510384,121982510384
121888639084,121888639084
121950500206,121950500206
121768165684,121768165684
121930088766,121930088766
121989490692,121989490692
121964817017,121964817017
121914492327,121914492327
121919356751,121919356751
121989730138,121989730138
121984422701,121984422701
121773432857,121773432857
121928550463,121928550463
121916802411,121916802411
121960612361,121960612361
121988652806,121988652806
121929789739,121929789739
121916755077,121916755077
121759971239,121759971239
121781406244,121781406244
121928873524,121928873524
121886792742,121886792742
122801108324,122801108324
121927473478,121927473478
121760277344,121760277344
122798027629,122798027629
150549971630,150549971630
121760754350,121760754350
121946870194,121946870194
121920830543,121920830543
121989399064,121989399064
121768940403,121768940403
121924174609,121924174609
121990296928,121990296928
121981944418,121981944418
121925249086,121925249086
121924475943,121924475943
155785700490,155785700490
121769870469,121769870469
121826040581,121826040581
121913566868,121913566868
121781563725,121781563725
121915340626,121915340626
121930266257,121930266257
121923921292,121923921292
121767083660,121767083660
121916778258,121916778258
121988896567,121988896567
121929316226,121929316226
161435481673,161435481673
121923312218,121923312218
121984420884,121984420884
121920208679,121920208679
121955208212,121955208212
121782336046,121782336046
121920826168,121920826168
121929966367,121929966367
121773737320,121773737320
144519730352,144519730352
121924840218,121924840218
